PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
1,0,3,1,-0.5657364610748746,1,0,-0.5024451714361923,2
3,1,3,0,-0.2583370877897099,0,0,-0.4888542575852486,2
4,1,1,0,0.4333115021019107,1,0,0.4207302360686478,2
5,0,3,1,0.4333115021019107,0,0,-0.4863374216869257,2
6,0,3,1,-0.10463740114712752,0,0,-0.47811642890864375,1
7,0,1,1,1.893458525206443,0,0,0.395813560675251,2
8,0,3,1,-2.1027333275006983,3,1,-0.22408312108167944,2
9,1,3,0,-0.1814872444684187,0,2,-0.4242561406845337,2
10,1,2,0,-1.180535207645204,1,0,-0.04295550208861426,0
11,1,3,0,-1.949033640858116,1,1,-0.312172377522981,2
12,1,1,0,2.200857898491608,0,0,-0.11384570873513637,2
13,0,3,1,-0.719436147717457,0,0,-0.4863374216869257,2
14,0,3,1,0.7407108753870755,1,5,-0.01870931177853076,2
15,0,3,0,-1.180535207645204,0,0,-0.4902797934380587,2
16,1,2,0,1.9703083685277343,0,0,-0.3262666585535892,2
17,0,3,1,-2.1027333275006983,4,1,-0.06199888922968463,1
18,1,2,1,-0.10463740114712752,0,0,-0.3866707201133388,2
19,0,3,0,0.12591212881674602,1,0,-0.2859972841804228,2
20,1,3,0,-0.10463740114712752,0,0,-0.5029485386158568,0
21,0,2,1,0.4333115021019107,0,0,-0.12491978668775715,2
22,1,2,1,0.35646165878061953,0,0,-0.3866707201133388,2
23,1,3,0,-1.1036853643239128,0,0,-0.4867562231804066,1
24,1,1,1,-0.10463740114712752,0,0,0.06635974158478332,2
25,0,3,0,-1.6416342675729512,3,1,-0.22408312108167944,2
26,1,3,0,0.6638610320657843,1,5,-0.016444159470040135,2
27,0,3,1,-0.10463740114712752,0,0,-0.5029485386158568,0
29,1,3,0,-0.10463740114712752,0,0,-0.48977642625839407,1
30,0,3,1,-0.10463740114712752,0,0,-0.4894421904510968,2
31,0,1,1,0.8175607187083667,0,0,-0.09027201697708476,0
33,1,3,0,-0.10463740114712752,0,0,-0.49237782784290063,1
34,0,2,1,2.8156566450619374,0,0,-0.43700743807979686,2
36,0,1,1,0.9712604053509489,1,0,0.39858208016340624,2
37,1,3,1,-0.10463740114712752,0,0,-0.5028639729296732,0
38,0,3,1,-0.6425863043961658,0,0,-0.4863374216869257,2
